time_s,mode,ceiling_light_r01_c01,ceiling_light_r01_c02,ceiling_light_r01_c03,ceiling_light_r01_c04,ceiling_light_r02_c01,ceiling_light_r02_c02,ceiling_light_r02_c03,ceiling_light_r02_c04,ceiling_light_r03_c01,ceiling_light_r03_c02,ceiling_light_r03_c03,ceiling_light_r03_c04,ceiling_light_r04_c01,ceiling_light_r04_c02,ceiling_light_r04_c03,ceiling_light_r04_c04,ceiling_light_r05_c01,ceiling_light_r05_c02,ceiling_light_r05_c03,ceiling_light_r05_c04,front_linear_light_left,front_linear_light_right
0.0,empty_safety,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.118,0.118,0.118,0.118,0.1275,0.1275,0.1275,0.1275,0.1,0.1
0.25,empty_safety,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.118,0.118,0.118,0.118,0.1275,0.1275,0.1275,0.1275,0.1,0.1
0.5,empty_safety,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.118,0.118,0.118,0.118,0.1275,0.1275,0.1275,0.1275,0.1,0.1
0.75,empty_safety,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.118,0.118,0.118,0.118,0.1275,0.1275,0.1275,0.1275,0.1,0.1
1.0,empty_safety,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.118,0.118,0.118,0.118,0.1275,0.1275,0.1275,0.1275,0.1,0.1
1.25,empty_safety,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.118,0.118,0.118,0.118,0.1275,0.1275,0.1275,0.1275,0.1,0.1
1.5,empty_safety,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.118,0.118,0.118,0.118,0.1275,0.1275,0.1275,0.1275,0.1,0.1
1.75,empty_safety,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.118,0.118,0.118,0.118,0.1275,0.1275,0.1275,0.1275,0.1,0.1
2.0,empty_safety,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.118,0.118,0.118,0.118,0.1275,0.1275,0.1275,0.1275,0.1,0.1
2.25,class_mode,0.1097,0.1098,0.1098,0.1096,0.1096,0.1096,0.1096,0.1096,0.1096,0.1096,0.1096,0.1096,0.1175,0.1175,0.1175,0.1175,0.127,0.127,0.127,0.127,0.1792,0.1717
2.5,class_mode,0.2782,0.163,0.1083,0.101,0.2228,0.1502,0.1014,0.0999,0.11,0.1035,0.0999,0.0998,0.1064,0.1062,0.1061,0.1061,0.1136,0.1136,0.1136,0.1136,0.184,0.1764
2.75,class_mode,0.5685,0.4771,0.1882,0.0999,0.5292,0.4374,0.1445,0.0958,0.194,0.1478,0.0981,0.0942,0.1003,0.0985,0.0976,0.0975,0.1015,0.1015,0.1015,0.1015,0.2226,0.2148
3.0,class_mode,0.8427,0.7655,0.7806,0.5233,0.7814,0.8208,0.6615,0.4754,0.3412,0.223,0.1814,0.144,0.1109,0.1066,0.1058,0.1048,0.105,0.1049,0.1049,0.1049,0.2962,0.2882
3.25,class_mode,0.9458,0.8596,0.8764,0.8678,0.8773,0.9213,0.9212,0.8152,0.4306,0.3792,0.3409,0.2797,0.1422,0.1275,0.1261,0.1248,0.1205,0.1204,0.1204,0.1203,0.3592,0.3512
3.5,class_mode,0.9605,0.8743,0.8911,0.8825,0.892,0.936,0.9359,0.877,0.8757,0.6822,0.67,0.7811,0.5113,0.2851,0.275,0.2088,0.1688,0.145,0.1398,0.137,0.3996,0.3917
3.75,class_mode,0.9605,0.8757,0.9387,1.0792,0.892,0.9373,0.9798,1.078,0.8758,0.8339,0.9673,1.0997,0.8243,0.6815,0.6948,0.9013,0.468,0.4026,0.4031,0.2929,0.3996,0.3917
4.0,class_mode,1.18,1.1012,1.0099,1.0797,1.18,1.1409,1.0921,1.1477,0.9349,0.9393,1.0317,1.1256,0.8759,0.8092,1.0046,0.7269,0.808,0.4543,0.5003,0.3317,0.3996,0.3917
4.25,class_mode,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.0548,1.1779,0.9729,1.0004,1.0426,1.0979,0.8776,0.6046,0.6308,0.7132,0.3995,0.3917
4.5,class_mode,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.1679,1.18,1.1407,0.9481,0.9166,1.0313,0.3993,0.3917
4.75,class_mode,1.0867,1.18,1.18,1.1392,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.0673,1.18,1.18,0.3993,0.3917
5.0,class_mode,0.9662,1.1167,1.1643,0.9741,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,0.3992,0.3917
5.25,class_mode,0.9006,0.9562,0.978,0.8264,1.1058,1.1345,1.18,1.0918,1.1371,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,0.3992,0.3917
5.5,class_mode,0.9005,0.9548,0.9751,0.8236,1.1027,1.0944,1.1208,1.0126,1.0989,1.0815,1.1167,1.0538,1.0983,1.0886,1.18,1.18,1.0976,1.0911,1.18,1.18,0.3992,0.3917
