time_s,mode,person_id,x_m,y_m,z_m,state,activity
2.5,class_mode,1,0.621,2.184,0.04,standing,walking
2.5,class_mode,3,0.435,1.81,0.04,standing,walking
2.5,class_mode,4,0.342,1.693,0.04,standing,walking
2.5,class_mode,17,0.402,1.69,0.04,standing,walking
2.75,class_mode,1,0.7,2.61,0.04,standing,walking
2.75,class_mode,2,2.433,2.45,0.04,standing,walking
2.75,class_mode,3,1.631,2.29,0.04,standing,walking
2.75,class_mode,4,0.769,2.19,0.04,standing,walking
2.75,class_mode,5,0.586,2.129,0.04,standing,walking
2.75,class_mode,6,0.453,1.762,0.04,standing,walking
2.75,class_mode,7,0.346,1.563,0.04,standing,walking
2.75,class_mode,17,0.634,2.257,0.04,standing,walking
2.75,class_mode,18,0.627,2.181,0.04,standing,walking
2.75,class_mode,19,0.558,2.071,0.04,standing,walking
2.75,class_mode,20,0.418,1.877,0.04,standing,walking
2.75,class_mode,33,0.525,1.99,0.04,standing,walking
2.75,class_mode,34,0.387,1.773,0.04,standing,walking
2.75,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
3.0,class_mode,1,0.699,2.911,0.04,standing,walking
3.0,class_mode,2,4.274,2.76,0.04,standing,walking
3.0,class_mode,3,5.565,2.716,0.04,standing,walking
3.0,class_mode,4,7.589,2.627,0.04,standing,walking
3.0,class_mode,5,0.674,2.471,0.04,standing,walking
3.0,class_mode,6,1.476,2.308,0.04,standing,walking
3.0,class_mode,7,0.88,2.197,0.04,standing,walking
3.0,class_mode,8,0.598,2.135,0.04,standing,walking
3.0,class_mode,9,0.471,1.919,0.04,standing,walking
3.0,class_mode,10,0.353,1.78,0.04,standing,walking
3.0,class_mode,17,0.717,2.703,0.04,standing,walking
3.0,class_mode,18,3.389,2.592,0.04,standing,walking
3.0,class_mode,19,4.493,2.429,0.04,standing,walking
3.0,class_mode,20,2.061,2.273,0.04,standing,walking
3.0,class_mode,21,0.621,2.184,0.04,standing,walking
3.0,class_mode,22,0.573,2.074,0.04,standing,walking
3.0,class_mode,23,0.435,1.81,0.04,standing,walking
3.0,class_mode,24,0.342,1.693,0.04,standing,walking
3.0,class_mode,33,0.658,2.387,0.04,standing,walking
3.0,class_mode,34,1.034,2.242,0.04,standing,walking
3.0,class_mode,35,0.62,2.18,0.04,standing,walking
3.0,class_mode,36,0.542,1.985,0.04,standing,walking
3.0,class_mode,37,0.402,1.69,0.04,standing,walking
3.0,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
3.25,class_mode,1,0.629,3.564,0.04,standing,walking
3.25,class_mode,2,4.73,3.383,0.04,standing,walking
3.25,class_mode,3,5.286,3.156,0.04,standing,walking
3.25,class_mode,4,9.03,2.936,0.04,standing,walking
3.25,class_mode,5,0.714,2.825,0.04,standing,walking
3.25,class_mode,6,4.238,2.719,0.04,standing,walking
3.25,class_mode,7,7.838,2.643,0.04,standing,walking
3.25,class_mode,8,5.486,2.492,0.04,standing,walking
3.25,class_mode,9,0.647,2.326,0.04,standing,walking
3.25,class_mode,10,0.625,2.206,0.04,standing,walking
3.25,class_mode,11,0.607,2.147,0.04,standing,walking
3.25,class_mode,12,0.489,1.886,0.04,standing,walking
3.25,class_mode,13,0.362,1.665,0.04,standing,walking
3.25,class_mode,17,0.679,4.563,0.04,standing,walking
3.25,class_mode,18,4.368,3.537,0.04,standing,walking
3.25,class_mode,19,9.03,2.857,0.04,standing,walking
3.25,class_mode,20,8.881,2.71,0.04,standing,walking
3.25,class_mode,21,0.7,2.61,0.04,standing,walking
3.25,class_mode,22,2.433,2.45,0.04,standing,walking
3.25,class_mode,23,1.631,2.29,0.04,standing,walking
3.25,class_mode,24,0.769,2.19,0.04,standing,walking
3.25,class_mode,25,0.586,2.129,0.04,standing,walking
3.25,class_mode,26,0.453,1.762,0.04,standing,walking
3.25,class_mode,27,0.346,1.563,0.04,standing,walking
3.25,class_mode,33,0.719,2.811,0.044,standing,walking
3.25,class_mode,34,4.073,2.694,0.04,standing,walking
3.25,class_mode,35,6.751,2.574,0.04,standing,walking
3.25,class_mode,36,4.164,2.408,0.04,standing,walking
3.25,class_mode,37,0.634,2.257,0.04,standing,walking
3.25,class_mode,38,0.62,2.181,0.04,standing,walking
3.25,class_mode,39,0.558,2.071,0.04,standing,walking
3.25,class_mode,40,0.418,1.877,0.04,standing,walking
3.25,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
3.5,class_mode,1,0.65,3.65,0.04,standing,walking
3.5,class_mode,2,4.866,3.65,0.04,standing,walking
