cell_id,x_m,y_m,z_m,normal_x,normal_y,normal_z,semantic_label,visible_cameras,rho
desk_cell_00,1.464,3.65,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_01,2.351,3.65,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_02,3.238,3.65,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_03,6.149,3.65,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_04,6.996,3.65,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_05,7.843,3.65,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_06,1.464,4.55,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_07,2.351,4.55,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_08,3.238,4.55,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_09,6.149,4.55,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_10,6.996,4.55,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_11,7.843,4.55,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_12,1.464,5.45,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_13,2.351,5.45,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_14,3.238,5.45,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_15,6.149,5.45,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_16,6.996,5.45,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_17,7.843,5.45,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_18,1.464,6.35,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_19,2.351,6.35,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_20,3.238,6.35,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_21,6.149,6.35,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
desk_cell_22,6.996,6.35,0.72,0.0,0.0,1.0,desk_work_surface,rear_to_front_camera,0.62
