scenario,lamp_id,x,y,z,group,c_t
class_writing,ceiling_r01_c01,1.4,2.2,3.0,ceiling,0.1524
class_writing,ceiling_r01_c02,3.7333,2.2,3.0,ceiling,0.2086
class_writing,ceiling_r01_c03,6.0667,2.2,3.0,ceiling,0.2177
class_writing,ceiling_r01_c04,8.4,2.2,3.0,ceiling,0.147
class_writing,ceiling_r02_c01,1.4,4.9,3.0,ceiling,0.2739
class_writing,ceiling_r02_c02,3.7333,4.9,3.0,ceiling,0.3226
class_writing,ceiling_r02_c03,6.0667,4.9,3.0,ceiling,0.3337
class_writing,ceiling_r02_c04,8.4,4.9,3.0,ceiling,0.2675
class_writing,ceiling_r03_c01,1.4,7.6,3.0,ceiling,0.2689
class_writing,ceiling_r03_c02,3.7333,7.6,3.0,ceiling,0.3024
class_writing,ceiling_r03_c03,6.0667,7.6,3.0,ceiling,0.2894
class_writing,ceiling_r03_c04,8.4,7.6,3.0,ceiling,0.2561
class_writing,ceiling_r04_c01,1.4,10.3,3.0,ceiling,0.2373
class_writing,ceiling_r04_c02,3.7333,10.3,3.0,ceiling,0.3113
class_writing,ceiling_r04_c03,6.0667,10.3,3.0,ceiling,0.3074
class_writing,ceiling_r04_c04,8.4,10.3,3.0,ceiling,0.2401
class_writing,ceiling_r05_c01,1.4,13.0,3.0,ceiling,0.0
class_writing,ceiling_r05_c02,3.7333,13.0,3.0,ceiling,0.0395
class_writing,ceiling_r05_c03,6.0667,13.0,3.0,ceiling,0.0323
class_writing,ceiling_r05_c04,8.4,13.0,3.0,ceiling,0.0
class_writing,front_linear_left,3.3,0.8,2.8,front_linear,0.065
class_writing,front_linear_right,6.7,0.8,2.8,front_linear,0.0558
break_discussion,ceiling_r01_c01,1.4,2.2,3.0,ceiling,0.0
break_discussion,ceiling_r01_c02,3.7333,2.2,3.0,ceiling,0.0979
break_discussion,ceiling_r01_c03,6.0667,2.2,3.0,ceiling,0.0996
break_discussion,ceiling_r01_c04,8.4,2.2,3.0,ceiling,0.0
break_discussion,ceiling_r02_c01,1.4,4.9,3.0,ceiling,0.0112
break_discussion,ceiling_r02_c02,3.7333,4.9,3.0,ceiling,0.0939
break_discussion,ceiling_r02_c03,6.0667,4.9,3.0,ceiling,0.0954
break_discussion,ceiling_r02_c04,8.4,4.9,3.0,ceiling,0.0169
break_discussion,ceiling_r03_c01,1.4,7.6,3.0,ceiling,0.0263
break_discussion,ceiling_r03_c02,3.7333,7.6,3.0,ceiling,0.0993
break_discussion,ceiling_r03_c03,6.0667,7.6,3.0,ceiling,0.093
break_discussion,ceiling_r03_c04,8.4,7.6,3.0,ceiling,0.0254
break_discussion,ceiling_r04_c01,1.4,10.3,3.0,ceiling,0.017
break_discussion,ceiling_r04_c02,3.7333,10.3,3.0,ceiling,0.0944
break_discussion,ceiling_r04_c03,6.0667,10.3,3.0,ceiling,0.099
break_discussion,ceiling_r04_c04,8.4,10.3,3.0,ceiling,0.0207
break_discussion,ceiling_r05_c01,1.4,13.0,3.0,ceiling,0.0
break_discussion,ceiling_r05_c02,3.7333,13.0,3.0,ceiling,0.0229
break_discussion,ceiling_r05_c03,6.0667,13.0,3.0,ceiling,0.0233
break_discussion,ceiling_r05_c04,8.4,13.0,3.0,ceiling,0.0
break_discussion,front_linear_left,3.3,0.8,2.8,front_linear,0.1257
break_discussion,front_linear_right,6.7,0.8,2.8,front_linear,0.065
projection,ceiling_r01_c01,1.4,2.2,3.0,ceiling,0.0
projection,ceiling_r01_c02,3.7333,2.2,3.0,ceiling,0.0518
projection,ceiling_r01_c03,6.0667,2.2,3.0,ceiling,0.0804
projection,ceiling_r01_c04,8.4,2.2,3.0,ceiling,0.0265
projection,ceiling_r02_c01,1.4,4.9,3.0,ceiling,0.0899
projection,ceiling_r02_c02,3.7333,4.9,3.0,ceiling,0.1595
projection,ceiling_r02_c03,6.0667,4.9,3.0,ceiling,0.1584
projection,ceiling_r02_c04,8.4,4.9,3.0,ceiling,0.087
projection,ceiling_r03_c01,1.4,7.6,3.0,ceiling,0.1864
projection,ceiling_r03_c02,3.7333,7.6,3.0,ceiling,0.2443
projection,ceiling_r03_c03,6.0667,7.6,3.0,ceiling,0.2374
projection,ceiling_r03_c04,8.4,7.6,3.0,ceiling,0.1777
projection,ceiling_r04_c01,1.4,10.3,3.0,ceiling,0.1672
projection,ceiling_r04_c02,3.7333,10.3,3.0,ceiling,0.2116
projection,ceiling_r04_c03,6.0667,10.3,3.0,ceiling,0.2212
projection,ceiling_r04_c04,8.4,10.3,3.0,ceiling,0.1605
projection,ceiling_r05_c01,1.4,13.0,3.0,ceiling,0.1267
projection,ceiling_r05_c02,3.7333,13.0,3.0,ceiling,0.1779
projection,ceiling_r05_c03,6.0667,13.0,3.0,ceiling,0.1817
projection,ceiling_r05_c04,8.4,13.0,3.0,ceiling,0.117
projection,front_linear_left,3.3,0.8,2.8,front_linear,0.0825
projection,front_linear_right,6.7,0.8,2.8,front_linear,0.1825
board_writing,ceiling_r01_c01,1.4,2.2,3.0,ceiling,0.179
board_writing,ceiling_r01_c02,3.7333,2.2,3.0,ceiling,0.404
board_writing,ceiling_r01_c03,6.0667,2.2,3.0,ceiling,0.4062
board_writing,ceiling_r01_c04,8.4,2.2,3.0,ceiling,0.2046
board_writing,ceiling_r02_c01,1.4,4.9,3.0,ceiling,0.0139
board_writing,ceiling_r02_c02,3.7333,4.9,3.0,ceiling,0.0906
board_writing,ceiling_r02_c03,6.0667,4.9,3.0,ceiling,0.0868
board_writing,ceiling_r02_c04,8.4,4.9,3.0,ceiling,0.0237
board_writing,ceiling_r03_c01,1.4,7.6,3.0,ceiling,0.0084
board_writing,ceiling_r03_c02,3.7333,7.6,3.0,ceiling,0.0705
board_writing,ceiling_r03_c03,6.0667,7.6,3.0,ceiling,0.0451
board_writing,ceiling_r03_c04,8.4,7.6,3.0,ceiling,0.0056
board_writing,ceiling_r04_c01,1.4,10.3,3.0,ceiling,0.016
board_writing,ceiling_r04_c02,3.7333,10.3,3.0,ceiling,0.0922
board_writing,ceiling_r04_c03,6.0667,10.3,3.0,ceiling,0.0987
board_writing,ceiling_r04_c04,8.4,10.3,3.0,ceiling,0.0221
board_writing,ceiling_r05_c01,1.4,13.0,3.0,ceiling,0.0
board_writing,ceiling_r05_c02,3.7333,13.0,3.0,ceiling,0.0191
board_writing,ceiling_r05_c03,6.0667,13.0,3.0,ceiling,0.0208
board_writing,ceiling_r05_c04,8.4,13.0,3.0,ceiling,0.0
board_writing,front_linear_left,3.3,0.8,2.8,front_linear,0.4288
board_writing,front_linear_right,6.7,0.8,2.8,front_linear,0.3663
self_study,ceiling_r01_c01,1.4,2.2,3.0,ceiling,0.0
self_study,ceiling_r01_c02,3.7333,2.2,3.0,ceiling,0.088
self_study,ceiling_r01_c03,6.0667,2.2,3.0,ceiling,0.0877
self_study,ceiling_r01_c04,8.4,2.2,3.0,ceiling,0.0
self_study,ceiling_r02_c01,1.4,4.9,3.0,ceiling,0.0
self_study,ceiling_r02_c02,3.7333,4.9,3.0,ceiling,0.0751
self_study,ceiling_r02_c03,6.0667,4.9,3.0,ceiling,0.1574
self_study,ceiling_r02_c04,8.4,4.9,3.0,ceiling,0.0699
self_study,ceiling_r03_c01,1.4,7.6,3.0,ceiling,0.0106
self_study,ceiling_r03_c02,3.7333,7.6,3.0,ceiling,0.0689
self_study,ceiling_r03_c03,6.0667,7.6,3.0,ceiling,0.1712
self_study,ceiling_r03_c04,8.4,7.6,3.0,ceiling,0.0908
self_study,ceiling_r04_c01,1.4,10.3,3.0,ceiling,0.1275
self_study,ceiling_r04_c02,3.7333,10.3,3.0,ceiling,0.147
self_study,ceiling_r04_c03,6.0667,10.3,3.0,ceiling,0.0704
self_study,ceiling_r04_c04,8.4,10.3,3.0,ceiling,0.0
self_study,ceiling_r05_c01,1.4,13.0,3.0,ceiling,0.0803
self_study,ceiling_r05_c02,3.7333,13.0,3.0,ceiling,0.0722
self_study,ceiling_r05_c03,6.0667,13.0,3.0,ceiling,0.0036
self_study,ceiling_r05_c04,8.4,13.0,3.0,ceiling,0.0
self_study,front_linear_left,3.3,0.8,2.8,front_linear,0.1278
self_study,front_linear_right,6.7,0.8,2.8,front_linear,0.048
