scenario,cell_id,label,day_light,target_demand,high_limit,predicted_light,under_light,over_light
class_writing,student_desk_000,student_desk,0.2484,0.6616,0.92,0.5252,0.1365,0.0
class_writing,student_desk_001,student_desk,0.1948,0.6616,0.92,0.5437,0.1179,0.0
class_writing,student_desk_002,student_desk,0.1695,0.6616,0.92,0.5543,0.1074,0.0
class_writing,student_desk_003,student_desk,0.1682,0.6616,0.92,0.5512,0.1104,0.0
class_writing,student_desk_004,student_desk,0.1862,0.6616,0.92,0.5388,0.1229,0.0
class_writing,student_desk_005,student_desk,0.2372,0.6616,0.92,0.5178,0.1438,0.0
class_writing,student_desk_006,student_desk,0.2388,0.6616,0.92,0.571,0.0906,0.0
class_writing,student_desk_007,student_desk,0.1881,0.6616,0.92,0.6031,0.0585,0.0
class_writing,student_desk_008,student_desk,0.1632,0.6616,0.92,0.623,0.0386,0.0
class_writing,student_desk_009,student_desk,0.1615,0.6616,0.92,0.627,0.0346,0.0
class_writing,student_desk_010,student_desk,0.1829,0.6616,0.92,0.597,0.0646,0.0
class_writing,student_desk_011,student_desk,0.2259,0.6616,0.92,0.5687,0.0929,0.0
class_writing,student_desk_012,student_desk,0.2409,0.6616,0.92,0.587,0.0746,0.0
class_writing,student_desk_013,student_desk,0.192,0.6616,0.92,0.6213,0.0404,0.0
class_writing,student_desk_014,student_desk,0.1692,0.6616,0.92,0.6397,0.0219,0.0
class_writing,student_desk_015,student_desk,0.1674,0.6616,0.92,0.642,0.0196,0.0
class_writing,student_desk_016,student_desk,0.187,0.6616,0.92,0.6223,0.0394,0.0
class_writing,student_desk_017,student_desk,0.231,0.6616,0.92,0.5873,0.0743,0.0
class_writing,student_desk_018,student_desk,0.2345,0.6616,0.92,0.5925,0.0692,0.0
class_writing,student_desk_019,student_desk,0.1878,0.6616,0.92,0.6172,0.0444,0.0
class_writing,student_desk_020,student_desk,0.1651,0.6616,0.92,0.6389,0.0227,0.0
class_writing,student_desk_021,student_desk,0.1599,0.6616,0.92,0.6397,0.0219,0.0
class_writing,student_desk_022,student_desk,0.1825,0.6616,0.92,0.6234,0.0382,0.0
class_writing,student_desk_023,student_desk,0.2233,0.6616,0.92,0.5864,0.0752,0.0
class_writing,student_desk_024,student_desk,0.243,0.6616,0.92,0.5662,0.0955,0.0
class_writing,student_desk_025,student_desk,0.1979,0.6616,0.92,0.5945,0.0671,0.0
class_writing,student_desk_026,student_desk,0.1758,0.6616,0.92,0.617,0.0446,0.0
class_writing,student_desk_027,student_desk,0.1745,0.6616,0.92,0.6142,0.0474,0.0
class_writing,student_desk_028,student_desk,0.1918,0.6616,0.92,0.5926,0.069,0.0
class_writing,student_desk_029,student_desk,0.2324,0.6616,0.92,0.5662,0.0954,0.0
class_writing,student_desk_030,student_desk,0.2416,0.6616,0.92,0.5264,0.1352,0.0
class_writing,student_desk_031,student_desk,0.2019,0.6616,0.92,0.5516,0.1101,0.0
